doc_id,type,extension,method,precision,recall,f1,precision_fuzzy,recall_fuzzy,f1_fuzzy
Example-of-a-near-seafloor-structure,images,.jpg,rule,0.0,0.0,0.0,0.0,0.0,0.0
Example-of-a-near-seafloor-structure,images,.jpg,nlp,0.0,0.0,0.0,0.0,0.0,0.0
Example-of-a-near-seafloor-structure,images,.jpg,hybrid,0.0,0.0,0.0,0.0,0.0,0.0
Geophysics,txt,.txt,rule,0.59999999988,0.9999999996666666,0.7499999993437498,0.59999999988,0.9999999996666666,0.7499999993437498
Geophysics,txt,.txt,nlp,0.0,0.0,0.0,0.0,0.0,0.0
Geophysics,txt,.txt,hybrid,0.59999999988,0.9999999996666666,0.7499999993437498,0.59999999988,0.9999999996666666,0.7499999993437498
Integration of Deterministic Seismic inversion with Machine Learning,doc_Word,.docx,rule,0.89999999991,0.8181818181074381,0.8571428565623582,0.89999999991,0.8181818181074381,0.8571428565623582
Integration of Deterministic Seismic inversion with Machine Learning,doc_Word,.docx,nlp,0.0,0.0,0.0,0.0,0.0,0.0
Integration of Deterministic Seismic inversion with Machine Learning,doc_Word,.docx,hybrid,0.89999999991,0.8181818181074381,0.8571428565623582,0.89999999991,0.8181818181074381,0.8571428565623582
Interpretation of incised valleys using new 3-D seismic techniques,pdf_text,.pdf,rule,0.0,0.0,0.0,0.0,0.0,0.0
Interpretation of incised valleys using new 3-D seismic techniques,pdf_text,.pdf,nlp,0.0,0.0,0.0,0.0,0.0,0.0
Interpretation of incised valleys using new 3-D seismic techniques,pdf_text,.pdf,hybrid,0.0,0.0,0.0,0.0,0.0,0.0
Interpretational applications of spectral decomposition in reservoir characterization,pdf_text,.pdf,rule,0.0,0.0,0.0,0.0,0.0,0.0
Interpretational applications of spectral decomposition in reservoir characterization,pdf_text,.pdf,nlp,0.0,0.0,0.0,0.0,0.0,0.0
Interpretational applications of spectral decomposition in reservoir characterization,pdf_text,.pdf,hybrid,0.0,0.0,0.0,0.0,0.0,0.0
Northern-Gulf-of-Mexico-Basin-source-intervals-ages-hydrocarbon-families-and-summary,images,.jpg,rule,0.0,0.0,0.0,0.0,0.0,0.0
Northern-Gulf-of-Mexico-Basin-source-intervals-ages-hydrocarbon-families-and-summary,images,.jpg,nlp,0.0,0.0,0.0,0.0,0.0,0.0
Northern-Gulf-of-Mexico-Basin-source-intervals-ages-hydrocarbon-families-and-summary,images,.jpg,hybrid,0.0,0.0,0.0,0.0,0.0,0.0
NPD Oligocene to Pliocene well and borehole data,pdf_scans,.pdf,rule,0.2499999999375,0.2499999999375,0.2499999994375,0.7499999998125,0.7499999998125,0.7499999993124999
NPD Oligocene to Pliocene well and borehole data,pdf_scans,.pdf,nlp,0.0,0.0,0.0,0.0,0.0,0.0
NPD Oligocene to Pliocene well and borehole data,pdf_scans,.pdf,hybrid,0.2499999999375,0.2499999999375,0.2499999994375,0.7499999998125,0.7499999998125,0.7499999993124999
Oil well operation parameters (2013),tables,.xlsx,rule,0.0,0.0,0.0,0.0,0.0,0.0
Oil well operation parameters (2013),tables,.xlsx,nlp,0.0,0.0,0.0,0.0,0.0,0.0
Oil well operation parameters (2013),tables,.xlsx,hybrid,0.0,0.0,0.0,0.0,0.0,0.0
Predicting rock properties,txt,.txt,rule,0.9999999998333333,0.9999999998333333,0.9999999993333333,0.9999999998333333,0.9999999998333333,0.9999999993333333
Predicting rock properties,txt,.txt,nlp,0.0,0.0,0.0,0.0,0.0,0.0
Predicting rock properties,txt,.txt,hybrid,0.9999999998333333,0.9999999998333333,0.9999999993333333,0.9999999998333333,0.9999999998333333,0.9999999993333333
Public Dataset for Machine Learning in Seismic Interpretation,pdf_text,.pdf,rule,0.0796460176984102,0.7499999999375,0.14399999982412798,0.08849557522045579,0.8333333332638889,0.159999999823872
Public Dataset for Machine Learning in Seismic Interpretation,pdf_text,.pdf,nlp,0.0,0.0,0.0,0.0,0.0,0.0
Public Dataset for Machine Learning in Seismic Interpretation,pdf_text,.pdf,hybrid,0.0796460176984102,0.7499999999375,0.14399999982412798,0.08849557522045579,0.8333333332638889,0.159999999823872
Reservoir rock allocated to each producing zone,tables,.xlsx,rule,0.0,0.0,0.0,0.0,0.0,0.0
Reservoir rock allocated to each producing zone,tables,.xlsx,nlp,0.0,0.0,0.0,0.0,0.0,0.0
Reservoir rock allocated to each producing zone,tables,.xlsx,hybrid,0.0,0.0,0.0,0.0,0.0,0.0
Seismic attributes,txt,.txt,rule,0.499999999875,0.9999999995,0.6666666659999999,0.499999999875,0.9999999995,0.6666666659999999
Seismic attributes,txt,.txt,nlp,0.0,0.0,0.0,0.0,0.0,0.0
Seismic attributes,txt,.txt,hybrid,0.499999999875,0.9999999995,0.6666666659999999,0.499999999875,0.9999999995,0.6666666659999999
Seismic_Imaging_and_Interpretation_Techniques,doc_Word,.docx,rule,0.8888888887901234,0.999999999875,0.9411764699792387,0.8888888887901234,0.999999999875,0.9411764699792387
Seismic_Imaging_and_Interpretation_Techniques,doc_Word,.docx,nlp,0.0,0.0,0.0,0.0,0.0,0.0
Seismic_Imaging_and_Interpretation_Techniques,doc_Word,.docx,hybrid,0.8888888887901234,0.999999999875,0.9411764699792387,0.8888888887901234,0.999999999875,0.9411764699792387
W1 Well Logs,tables,.xlsx,rule,0.0,0.0,0.0,0.0,0.0,0.0
W1 Well Logs,tables,.xlsx,nlp,0.0,0.0,0.0,0.0,0.0,0.0
W1 Well Logs,tables,.xlsx,hybrid,0.0,0.0,0.0,0.0,0.0,0.0
WA1,txt,.txt,rule,0.0,0.0,0.0,0.0,0.0,0.0
WA1,txt,.txt,nlp,0.0,0.0,0.0,0.0,0.0,0.0
WA1,txt,.txt,hybrid,0.0,0.0,0.0,0.0,0.0,0.0
